"id_tiempo","id_fecha","id_estado_cielo","temperatura","sensacion_termica","racha_max","precipitacion","nieve","humedad_relativa","probabilidad_de_nieve","probabilidad_de_tormenta","direccion_viento","velocidad_del_viento","id_municipio"
356,2,3,25,25,19.0,0.1,0,59,0,70,E,7,9
357,3,1,27,28,19.0,0.0,0,53,0,75,SE,8,9
358,4,1,28,28,20.0,0.0,0,46,0,75,S,8,9
359,5,8,26,26,41.0,0.0,0,47,0,75,SO,11,9
360,6,3,24,24,10.0,0.1,0,51,0,75,S,26,9
361,7,8,25,25,58.0,0.0,0,56,0,75,O,5,9
362,8,6,23,23,17.0,0.0,0,52,0,75,O,34,9
363,9,8,21,21,23.0,0.0,0,51,0,65,NE,11,9
364,10,1,21,21,22.0,0.0,0,75,0,65,NE,11,9
365,11,8,20,20,23.0,0.0,0,84,0,65,NE,9,9
366,12,10,20,20,32.0,2.0,0,82,0,65,E,14,9
367,13,7,19,19,27.0,1.0,0,87,0,65,E,23,9
368,14,5,19,19,15.0,0.0,0,91,0,65,E,16,9
369,15,6,18,18,24.0,0.0,0,97,0,20,N,10,9
370,16,6,18,18,20.0,0.0,0,96,0,20,NE,16,9
371,17,6,18,18,16.0,0.0,0,96,0,20,NE,11,9
372,18,8,18,18,19.0,0.0,0,100,0,20,NE,11,9
373,19,8,17,17,31.0,0.0,0,100,0,20,NE,13,9
374,20,5,17,17,15.0,0.0,0,100,0,20,NE,17,9
375,21,8,17,17,25.0,0.0,0,100,0,25,NE,11,9
376,22,8,19,19,22.0,0.0,0,97,0,25,NE,17,9
377,23,8,21,21,24.0,0.0,0,87,0,25,E,13,9
378,24,8,24,24,22.0,0.0,0,78,0,25,SE,17,9
379,25,8,25,25,25.0,0.0,0,59,0,25,NE,5,9
380,26,1,26,26,37.0,0.0,0,52,0,25,N,11,9
381,27,1,27,27,22.0,0.0,0,50,0,55,N,20,9
382,28,9,28,28,16.0,0.1,0,50,0,55,NE,12,9
383,29,6,29,29,16.0,0.0,0,47,0,55,NE,8,9
