"id_lugar","id_municipio","id_categoria","nombre","direccion","distancia_al_centro"
512,86,1,La carreterita,"Bellas Vistas, 28411 Moralzarzal Comunidad de Madrid",104.0
513,86,1,Parque de la Tejera,"28411 Moralzarzal Comunidad de Madrid",465.0
514,88,1,Parque Liana,"Avenida de Portugal, Nº 1, 28931 Móstoles Comunidad de Madrid",975.0
515,88,1,Parque Zarauz,"28931 Móstoles Comunidad de Madrid",217.0
516,88,1,El Hoyo,"Calle Badajoz, 2, 28931 Móstoles Comunidad de Madrid",362.0
517,88,1,Parque Cataluña,"valladolid, 28938 Móstoles Comunidad de Madrid",603.0
518,88,1,Parque Plaza Valencia,Comunidad de Madrid,633.0
519,88,1,Pipican Parque San Luis,N/A,679.0
520,88,1,La Pista Roja,N/A,720.0
521,88,1,Parque de Galicia,"Calle Hermanos Pinzón, 2, 28937 Móstoles Comunidad de Madrid",787.0
522,88,1,Parque de las aventuras,N/A,828.0
523,88,1,Parque la Paz,"28938 Móstoles Comunidad de Madrid",852.0
524,88,1,Happy Land,"Cid Campeador, 7, 28935 Móstoles Comunidad de Madrid",874.0
525,88,1,Parque de los Planetas,"28933 Móstoles Comunidad de Madrid",945.0
526,88,1,Parque Constitución,N/A,1009.0
527,88,1,Parque Infantil Coronel Palma,Palma de Mallorca,1037.0
528,88,1,Parque Día del Agua,Móstoles Comunidad de Madrid,1050.0
529,88,1,Party Sport,"Calle Cámara de la Industria, 4, 28938 Móstoles Comunidad de Madrid",1105.0
530,88,1,Parque Infantil Levante,Móstoles Comunidad de Madrid,1174.0
531,88,1,Parque Arroyo del Soto,"Calle Pintor Sorolla, Móstoles",1179.0
532,88,1,Parque del Rancho,"28932 Móstoles Comunidad de Madrid",1185.0
533,88,1,El Rancho,"28932 Móstoles Comunidad de Madrid",1196.0
534,88,1,Parque Salvador Allende,N/A,1214.0
535,88,1,Parque Andalucía,Móstoles Comunidad de Madrid,1229.0
536,88,1,Parque Infantil la Onu,Móstoles Comunidad de Madrid,1232.0
537,88,1,Parque Arroyo del Santo,"28933 Móstoles Comunidad de Madrid",1253.0
538,88,1,Parque Levante,Alcorcón Comunidad de Madrid,1334.0
539,88,1,Juega Conmigo,"Río Júcar, s/n, 28935 Móstoles Comunidad de Madrid",1379.0
540,88,1,Parque Onu,Móstoles Comunidad de Madrid,1429.0
541,88,1,Fuente los Rosales,N/A,1434.0
542,88,1,Parque Rio Ebro / Rio Segura,"Rio duero, Móstoles Comunidad de Madrid",1590.0
543,88,1,Parque Prado Ovejero,"Calle de Jacinto, Móstoles Comunidad de Madrid",1605.0
544,88,1,Parque las Cumbres,N/A,1627.0
545,88,1,Parque Manuela Malasaña,Móstoles Comunidad de Madrid,1732.0
546,88,1,Parque Columpios,"28935 Móstoles Comunidad de Madrid",1747.0
547,88,1,Parque Fuentecisneros,"28922 Alcorcón Comunidad de Madrid",1867.0
548,88,1,Fernandez Pascual Eduardo,"Avenida de la Constitucion, 50, 28931 Móstoles Madrid",382.0
549,88,1,Princesas y Piratas,"Calle Salcillo, 11, 28932 Móstoles Madrid",1036.0
550,88,1,La Casita de Daman,"Nueva York, 36, 28938 Móstoles Madrid",1301.0
551,89,1,Parque Infantil,"Avenida de Madrid, 28491 Navacerrada Comunidad de Madrid",95.0
552,89,1,Pino Manolo,Navacerrada Comunidad de Madrid,354.0
553,89,1,Parque Muñoyerro,Navacerrada Comunidad de Madrid,474.0
554,89,1,Parque infantil,"Calle de Amanecer, 12, 28491 Navacerrada Comunidad de Madrid",580.0
555,91,1,Parque de la Iglesia,"Calle Ancha, Navalagamella Comunidad de Madrid",172.0
556,91,1,Parque del Hondillo,"Calle San Sebastian, 44, 28212 Navalagamella Comunidad de Madrid",289.0
557,91,1,Parque Paseo Mirador de la Iglesia,N/A,337.0
558,91,1,Parque el Romeral,Romeral,882.0
559,92,1,Parque Pozo Concejo,"28600 Navalcarnero Comunidad de Madrid",482.0
560,92,1,Parque de la Crispina,"28600 Navalcarnero Comunidad de Madrid",615.0
561,92,1,Parque de los Charcones,Navalcarnero Comunidad de Madrid,650.0
562,92,1,Parque los Pinos,"Calle Mieres, s/n, 28600 Navalcarnero Comunidad de Madrid",653.0
563,92,1,Parque de la Tirolina,"28600 Navalcarnero Comunidad de Madrid",700.0
564,92,1,Parque de el Señorio,"28600 Navalcarnero Comunidad de Madrid",752.0
565,92,1,Parque de los Tubos,Navalcarnero Comunidad de Madrid,785.0
